Country,TOPSIS,SSP-TOPSIS std,SSP-TOPSIS $G_{1}$,SSP-TOPSIS $G_{2}$,SSP-TOPSIS $G_{3}$,SSP-TOPSIS $G_{4}$,SSP-TOPSIS $G_{5}$
Austria,18,19,18,18,18,19,19
Belgium,1,1,1,1,1,1,1
Bulgaria,15,12,15,15,15,12,12
Croatia,19,15,19,20,19,16,15
Cyprus,29,31,29,29,29,31,31
Czechia,6,6,6,6,6,6,6
Denmark,30,30,30,30,30,29,30
Estonia,31,29,31,31,31,30,29
Finland,11,11,11,11,11,11,11
France,3,3,3,3,3,3,3
Germany,10,8,9,10,10,9,8
Greece,27,28,27,27,28,28,28
Hungary,4,5,4,4,4,5,5
Ireland,25,25,25,25,25,25,25
Italy,28,26,28,28,27,27,26
Latvia,13,13,14,12,13,13,13
Lithuania,5,4,5,5,5,4,4
Luxembourg,14,14,13,14,12,17,14
Malta,26,27,26,26,26,26,27
Netherlands,16,17,16,16,16,15,17
Norway,21,23,21,22,21,21,23
Poland,17,18,17,17,17,18,18
Portugal,20,20,20,19,20,20,20
Romania,8,9,8,8,8,8,9
Slovakia,22,22,22,21,22,23,22
Slovenia,23,24,23,23,23,24,24
Spain,24,21,24,24,24,22,21
Sweden,7,7,7,7,7,7,7
Switzerland,9,10,10,9,9,10,10
UK,12,16,12,13,14,14,16
USA,2,2,2,2,2,2,2
