Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Austria,18,18,18,18,19,19,19,19,18,18,18
Belgium,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,15,15,15,15,15,15,14,14,16,16,16
Croatia,19,19,20,20,20,20,20,20,20,19,19
Cyprus,29,29,29,29,31,31,31,31,31,31,31
Czechia,6,6,6,6,6,6,6,6,6,6,7
Denmark,30,30,30,30,29,30,30,30,30,30,30
Estonia,31,31,31,31,30,29,29,29,29,29,28
Finland,11,11,11,11,11,11,11,11,10,9,9
France,3,3,3,3,3,3,3,3,3,2,2
Germany,10,9,9,9,9,8,8,8,7,7,6
Greece,27,27,27,27,27,27,27,27,26,26,23
Hungary,4,4,4,4,4,5,5,5,5,5,5
Ireland,25,25,25,25,25,25,25,25,25,25,26
Italy,28,28,28,28,28,28,28,28,28,28,29
Latvia,13,13,14,14,14,14,15,17,17,17,17
Lithuania,5,5,5,5,5,4,4,4,4,4,4
Luxembourg,14,14,13,13,13,13,13,13,12,10,8
Malta,26,26,26,26,26,26,26,26,27,27,27
Netherlands,16,16,16,16,16,17,18,18,19,20,21
Norway,21,21,21,21,21,22,22,23,23,23,24
Poland,17,17,17,17,17,16,16,16,15,15,15
Portugal,20,20,19,19,18,18,17,15,14,14,12
Romania,8,8,8,8,8,9,9,9,9,12,14
Slovakia,22,22,22,22,22,21,21,21,21,22,22
Slovenia,23,23,23,23,24,24,24,24,24,24,25
Spain,24,24,24,24,23,23,23,22,22,21,20
Sweden,7,7,7,7,7,7,7,7,8,8,11
Switzerland,9,10,10,10,10,10,10,10,11,13,13
UK,12,12,12,12,12,12,12,12,13,11,10
USA,2,2,2,2,2,2,2,2,2,3,3
